codigo;Tipo;Equipamentos;unid;C u s t o Produtivo;C u s t o Improdutivo;C u s t o Parado;C u s t o Aluguel;HORA-MAQUINA
01.028.000012;EQ;Compactador de placa vibratória elétrica (potência: 7,5 HP);UN;;;;1;;
01.028.000013;EQ;Retroescavadeira sobre pneus diesel (capacidade: 0,18 e 0,76 m³ / potência: 77 HP);UN;;;;1;;
01.028.000014;EQ;Compactador de placa vibratória gasolina (impacto: 1600 kg / peso: 129 kg / potência: 5,4 HP);UN;;;;1;;
01.028.000015;EQ;Compactador de placa vibratória gasolina (potência: 10,5 HP);UN;;;;1;;
01.028.000016;EQ;Minicarregadeira diesel caçamba tipo aplicação múltipla com borda cortante aparafusável (capacidade nominal da caçamba: 0,40 m³,  / largura da caçamba: 66 " / potência: 48 HP);UN;;;;1;;
01.028.000017;EQ;Minicarregadeira diesel caçamba tipo aplicação múltipla com borda cortante aparafusável (capacidade nominal da caçamba: 0,33 m³  / largura da caçamba: 66 " / potência: 57 HP );UN;;;;1;;
01.028.000018;EQ;Minicarregadeira diesel caçamba tipo aplicação geral com borda cortante aparafusável (capacidade nominal da caçamba: 0,44 m³  / largura da caçamba: 72 " / potência: 68 HP);UN;;;;1;;
01.028.000019;EQ;Minicarregadeira diesel caçamba tipo aplicação geral com dentes aparafusáveis (capacidade nominal da caçamba: 0,45 m³  / largura da caçamba: 72 " / potência: 76 HP);UN;;;;1;;
01.028.000020;EQ;Minicarregadeira diesel caçamba tipo aplicação múltipla com borda cortante aparafusável (capacidade nominal da caçamba: 0,37 m³  / largura da caçamba: 72 " / potência: 75 HP );UN;;;;1;;
01.028.000021;EQ;Escavadeira hidráulica sobre esteiras diesel (potência: 84 HP / capacidade: 0,78 m³);UN;;;;1;;
01.028.000022;EQ;Escavadeira hidráulica sobre esteiras diesel com caçamba de escavação (capacidade da caçamba coroada: 1,30 m³ / potência: 162 HP);UN;;;;1;;
01.028.000023;EQ;Escavadeira hidráulica sobre esteiras diesel com caçamba de escavação (capacidade da caçamba coroada: 1,61 m³ / potência: 188 HP);UN;;;;1;;
01.028.000024;EQ;Escavadeira hidráulica sobre esteiras diesel com caçamba de escavação (capacidade da caçamba coroada: 2,20 m³ / potência: 247 HP);UN;;;;1;;
01.028.000025;EQ;Escavadeira hidráulica sobre esteiras diesel com caçamba de escavação muito rigorosa (capacidade da caçamba coroada: 3,10 m³ / potência: 321 HP);UN;;;;1;;
01.028.000026;EQ;Escavadeira hidráulica sobre esteiras diesel com caçamba de escavação (capacidade da caçamba coroada: 3,50 m³ / potência: 404 HP);UN;;;;1;;
01.028.000027;EQ;Escavadeira hidráulica sobre esteiras diesel com caçamba de escavação de grande volume (capacidade da caçamba coroada: 5,80 m³ / potência: 513 HP);UN;;;;1;;
01.028.000028;EQ;Escavadeira hidráulica sobre esteiras diesel (potência: 99 HP / capacidade: 0,84 m³);UN;;;;1;;
01.028.000029;EQ;Escavadeira hidráulica sobre esteiras diesel (potência: 138 HP / capacidade: 1,5 m³);UN;;;;1;;
01.028.000030;EQ;Escavadeira hidráulica sobre esteiras diesel (potência: 168 HP / capacidade: 1,9 m³);UN;;;;1;;
01.028.000031;EQ;Escavadeira hidráulica sobre esteiras diesel (potência: 222 HP / capacidade: 2,1 m³);UN;;;;1;;
01.028.000032;EQ;Escavadeira hidráulica sobre esteiras diesel (potência: 290 HP / capacidade: 2,6 m³);UN;;;;1;;
01.028.000033;EQ;Escavadeira hidráulica sobre esteiras diesel com caçamba de escavação (capacidade da caçamba coroada: 0,72 m³ / potência: 90 HP);UN;;;;1;;
01.028.000034;EQ;Escavadeira hidráulica sobre esteiras diesel com caçamba de escavação (capacidade da caçamba coroada: 0,86 m³ / potência: 110 HP);UN;;;;1;;
01.028.000035;EQ;Escavadeira hidráulica sobre esteiras diesel com caçamba de escavação (capacidade da caçamba coroada: 1,61 m³ / potência: 138 HP);UN;;;;1;;
01.028.000036;EQ;Grade de disco ( faixa de trabalho: 3,5 m);UN;;;;1;;
01.028.000037;EQ;Carregadeira dumper diesel (potência: 18 HP / capacidade: 2 t);UN;;;;1;;
01.028.000038;EQ;Carregadeira de rodas com caçamba com bordas cortantes aparafusáveis diesel para aplicação geral (capacidade nominal da caçamba: 2,1 m³ / capacidade rasa da caçamba: 1,7 m³ / potência nominal no volante: 129 HP / profundidade de escavação: 50 mm);UN;;;;1;;
01.028.000039;EQ;Pá-carregadeira sobre pneus diesel (capacidade: 2,1 m³ / potência: 114 HP);UN;;;;1;;
01.028.000040;EQ;Compactador de placa vibratória gasolina (potência: 4 HP);UN;;;;1;;
01.028.000041;EQ;Retroescavadeira sobre pneus diesel braço tipo padrão caçamba tipo paralela de múltiplas aplicações (alcance de carregamento: 1742 mm / capacidade nominal da caçamba: 1,03 m³ / potência nominal no volante do motor: 92 HP / profundidade de escavação: 4850;UN;;;;1;;
01.028.000042;EQ;Retroescavadeira sobre pneus diesel braço tipo padrão caçamba tipo dianteira paralela padrão de aplicação geral (alcance de carregamento: 1742 mm / capacidade nominal da caçamba: 1 m³ / potência nominal no volante do motor: 85 HP / profundidade de escavaç;UN;;;;1;;
01.028.000043;EQ;Retroescavadeira sobre pneus diesel braço tipo padrão caçamba tipo dianteira de inclinação simples e aplicação geral (alcance de carregamento: 1732 mm / capacidade nominal da caçamba: 0,96 m³ / potência nominal no volante do motor: 76 HP / profundidade de;UN;;;;1;;
01.028.000044;EQ;Pá-carregadeira sobre pneus diesel (capacidade: 4 m³ / potência: 235 HP);UN;;;;1;;
